full_text,clean,Label
Nggak perlu ompreg atau wadah stenlis yg mewah cukup piring biasa tp sdh bertahun tahun tdk ada yg keracunan Malah harganya lbh murah dr MBG https://t.co/o7xCX6alNL,nggak ompreg wadah stenlis yg mewah piring tp sdh tahun tdk yg racun harga lbh murah dr mbg,Positif
Kemarin Agustus Kelabu dipicu oleh meninggalnya seorang ojol. Tebakanku geger berikutnya akan dipicu oleh meninggalnya seorang siswa karena MBG,kemarin agustus kelabu picu tinggal ojol tebak geger picu tinggal siswa mbg,Positif
Woi tiap hari ada aja yg keracunan MBG. ‍,woi aja yg racun mbg,Positif
@MurtadhaOne1 @corbuzier @prabowo narasinya dilihat spt ini: Jgn Menolak Hak krn Program MBG itu berlaku utk semua anak kalau ada exception spt ini justru mendidik cikal bakal korupsi di anak2. Programnya dibenerin atuh! Kalau ibu2 merasa sejahtera donas lah utk MBG layak disekolah anaknya,narasi spt jgn tolak hak krn program mbg laku utk anak exception spt didik cikal korupsi anak program dibenerin atuh sejahtera donas utk mbg layak seko anak,Negatif
MBG : makan beracun gratis lagi https://t.co/LjrqeFwoI7,mbg makan racun gratis,Positif
Keren. Jangan terima MBG nanti siswanya pada keracunan,keren terima mbg siswa racun,Positif
@CNNIndonesia Ketololan Nasional jika Guru yang icip MBG harus nya oleh staf BGN dan pengelola SPPG agar anak murid Selamat @DPR_RI @KemensetnegRI @KejaksaanRI @AhliKapolri @OmbudsmanRI137,tolol nasional guru icip mbg nya staf bgn kelola sppg anak murid selamat,Positif
Kl ngomongin error rate harusnya lebih besar si. Coba tebak B dalam MBG artinya apa Pak,kl ngomongin error rate si coba tebak b mbg,Negatif
@ARSIPAJA Yaudah stop mbg aja sih,yaudah stop mbg aja sih,Positif
Gila cuy tiap hari ada aja yg keracunan MBG. ,gila cuy aja yg racun mbg,Positif
Kasus keracunan massal menimpa ribuan anak di berbagai daerah terutama di Kabupaten Bandung Barat Jawa Barat. Hingga 25 September 2025 Dinas Kesehatan Bandung Barat mencatat 1.315 orang keracunan akibat MBG dari tiga peristiwa berbeda. https://t.co/R9eM8WJFTi https://t.co/SudJgQyVWn,racun massal timpa ribu anak daerah kabupaten bandung barat jawa barat september dinas sehat bandung barat catat orang racun akibat mbg peristiwa beda,Negatif
@sharpandshark Kenapa @prabowo @Gerindra memaksakan program MBG dan kenapa banyak pemilik dapur2 MBG adalah anggota DPR karena ini jawabannya https://t.co/LtLldXUvz9,paksa program mbg milik dapur mbg anggota dpr jawab,Negatif
Selamat Pagi ️️️ Selamat datang OKTOBER Siap menunggu MBG ️️️ https://t.co/6NPIslYIwF,selamat pagi selamat oktober tunggu mbg,Positif
Belain mbg segitunya berharap kecipratan kayak ga pernah aja kewalahan nyiapin catering hhhh,bain mbg segitunya harap ciprat kayak ga aja kewalahan nyiapin catering hhhh,Negatif
@CNNIndonesia Awalnya kan program MBG buat siswa kurang mampu mereka menolak mngkn karena ada yg lbh berhak kl melihat berbagai menu MBG yg disediakan sptnya jg gak sesuai selera anak2 sekolah disitu,program mbg siswa tolak mngkn yg lbh hak kl menu mbg yg sedia sptnya jg gak sesuai selera anak sekolah situ,Positif
BUZZER PDIP GUOBLOG PADA SERANG PROGRAM MBG YANG DI UPLOAD PENDAPAT ARTIS PADAHAL PROGRAM MBG BUAT ANAK2 YANG MEMBUTUHKAN MANFAAT MAKANAN BERGIZI DASAR DAH LOBET GUOBLOG LAGI LO,buzzer pdip guoblog serang program mbg upload dapat artis program mbg anak butuh manfaat makan gizi dasar dah lobet guoblog lo,Negatif
Beban SPPG terlalu berat karena harus menyiapkan 3.000 porsi makanan setiap hari. Ketua DPP PDIP itu mengusulkan agar dapur MBG dibuka di sekolah-sekolah. Tepat https://t.co/9SKAMNChmr. https://t.co/dq2IGC3AUR,beban sppg berat porsi makan ketua dpp pdip usul dapur mbg buka sekolah sekolah,Positif
trs sedihnya masih ada aja yg mikir kalo keracunan itu disengaja sama pihak-pihak yg gasuka program tsb biar citranya jelek pdhl anak-anak yg keracunan mbg gatau apa apa,trs sedih aja yg mikir kalo racun sengaja yg gasuka program tsb biar citra jelek pdhl anak anak yg racun mbg gatau,Negatif
Sumbang saran: sebaiknya satu dapur MBG dibatasi dijatah maksimal 300 porsi pelaksanaannya diserahkan ke pihak sekolah dan wajib berkolaborasi dgn ortu/wali murid ibu PKK atau Posyandu. Pengawasannya pasti lebih mudah. https://t.co/QLoObCCqZa,sumbang saran dapur mbg batas jatah maksimal porsi laksana serah sekolah wajib kolaborasi dgn ortu wali murid pkk posyandu awas mudah,Positif
20 SISWA SDN 1 DI JAKTIM KERACUNAN MBG 5 ORANG SEMPAT MASUK IGD‼️ Sebanyak 20 siswa Sekolah Dasar Negeri (SDN) 01 Gedong Pasar Rebo Jakarta Timur mengalami keracunan diduga akibat mengonsumsi menu Makan Bergizi Gratis (MBG). Selasa (30/09/2025). Dari 20 siswa tersebut 5 https://t.co/FDLIqRBQsn,siswa sdn jaktim racun mbg orang masuk igd siswa sekolah dasar negeri sdn gedong pasar rebo jakarta timur alami racun duga akibat konsumsi menu makan gizi gratis mbg selasa siswa,Positif
@tanyakanrl lunch box mbg,lunch box mbg,Positif
@Metro_TV Ini maksudnya mindahin MBG ke kantin sekolah... bagus. Membagi 1 titik 3000 sd 4000 ke titik yg lebih kecil akan mempermudah pengawasan,maksud mindahin mbg kantin sekolah bagus bagi titik sd titik yg mudah awas,Negatif
@JohnAlbertJA @txtdrimedia Ya perhitunganmu masuk akal insentif Rp100 ribu setara dengan 10 porsi MBG (Rp10 ribu/porsi berdasarkan anggaran resmi). Program ini memang dapat insentif dari biaya operasional SPPG untuk apresiasi tugas ekstra guru. Tapi ada kritik soal efektivitas seperti kasus keracunan,ya hitung masuk akal insentif rp ribu tara porsi mbg rp ribu porsi dasar anggar resmi program insentif biaya operasional sppg apresiasi tugas ekstra guru kritik efektivitas racun,Positif
Progam MBG itu bukan seperti memelihara anak ayam tanpa induk pak dipelihara 100 mati 10 itu biasa. MBG itu program yg gak boleh salah dan keliru sebab ini menyangkut nyawa anak manusia. Seberapa kecilpun yg jadi korban tak beloh jadi acuan keberhasilan. https://t.co/NBFtT6XOat,progam mbg pelihara anak ayam induk pelihara mati mbg program yg gak salah keliru nyawa anak manusia kecil yg korban beloh acu hasil,Negatif
@Mdy_Asmara1701 Klo menurut sy. Qt dengar penjelasan ibu ini dr sisi posutifnya. Sangtlah benar apa yg dibilgnya... ibunya merasa gk pntas dapat MBG sementara ad sklh2 yg lebih layak tdk dapat atau blm dapat. Klo mereka tdk diberi MBG masih bisa mereka bekali anak2 mereka.. bgitu kira2,klo sy qt dengar jelas dr sisi posutifnya sangtlah yg dibilgnya ibu gk pntas mbg ad sklh yg layak tdk blm klo tdk mbg bekal anak bgitu,Positif
@mx00711 @agama_nusantara @sakkusaitna @Valhallaah @spektrumku @Kappa_2023 @bnsphrxyzzz @RefublikAteis @iphone7decoco @Sentjoko @PaijoKentirr @SDM_lowliteracy @balaputra_deva @EkalawyaJaya @JohnAarivEd @FaktaBerita89 Keluarga penguasa handai taulan penguasa aparat ormas buat penguasa ormas suci semua ikut dalam proyek MBG. Bayangkan jika program ini dihentikan berapa banyak yang kehilangan ladang?,keluarga kuasa handai taul kuasa aparat ormas kuasa ormas suci proyek mbg bayang program henti hilang ladang,Positif
Membangun standar keamanan baru dan sistem pengawasan MBG sangat ketat #komitmenpemerintahjagambg https://t.co/92In6zkC5t,bangun standar aman sistem awas mbg ketat,Negatif
Hari ini libur ngebekal dulu dapet Makan Sehat dari sekolah (bukan MBG yaaaa ) ada tugas juga bawa telur rebus 1 butir untuk kegiatan mengupas telur here it is https://t.co/wZnBFWsyev,libur ngebekal dapet makan sehat sekolah mbg yaaaa tugas bawa telur rebus butir giat kupas telur here it is,Positif
yang udah dapet mbg absennn,udah dapet mbg absennn,Positif
Bener ini mbg buat sekolah2 pedalaman aja,bener mbg sekolah dalam aja,Positif
@prabowo ngga usah maksa kasik MBG ke sekolah walinya kaya mereka merasa di hina MBG itu untuk yang tidak mampu begitu kata walimurid Al IZZAH bukankah banyak Rakyatmu yang masih lapar ? Napa maksa kasik MBG anak orang Berduit ? Kasik sana kesekolah lain yg Butuh,ngga maksa kasik mbg sekolah wali kaya hina mbg walimurid al izzah rakyat lapar napa maksa kasik mbg anak orang duit kasik seko yg butuh,Negatif
Aku udah lelah dengan bangsa ini. Sebenernya yang bikin lelah tuh pemerintahnya. Presidennya zionist yang bukan ahlinya jadi peran utama dalam MBG pendidikan ngga jelas. Ya Allah negara ini mau dibawa kemana ,udah lelah bangsa sebenernya bikin lelah tuh perintah presiden zionist ahli peran utama mbg didik ngga ya allah negara bawa mana,Positif
@kurawa @tribunnews Dari atas sampe bawah kalo ada apa2 pokoknya denial dulu bukan evaluasi. Ada demo bilang propaganda asing keracunan MBG sabotase asing. Tai kucing.,sampe kalo pokok denial evaluasi demo bilang propaganda asing racun mbg sabotase asing tai kucing,Negatif
@mikuroQ Di Indonesia program apapun tdk akan pernah maksimal Krn mayoritas dana hampir 34-45% di korupsi dana MBG yg 15 k paling sampai ke siswa 7-8 k saja,indonesia program apa tdk maksimal krn mayoritas dana korupsi dana mbg yg k siswa k,Positif
@mardigu024 Anggota dewan=UMKM? PERLU RUMUSAN JELAS! Kalau hanya berdasar 'etika' udah ngga berlaku parameter 'etika' di negeri ini krn dah bikin bingung masy! Masa saya anggota dewan tidak boleh pny dapur MBG ?HEHEHEHE,anggota dewan umkm rumus dasar etika udah ngga laku parameter etika negeri krn dah bikin bingung masy anggota dewan pny dapur mbg hehehehe,Negatif
@BawonoRobert @flnnch Sebelum ada program MBG ini pondok/sekolah elite emang udah punya program makan sendiri juga pastinya lebih bergizi dan mahal menunya makanya kalo ini program MBG malah masuk ke pondok/sekolah elite kan malah agak konyol istilahnya malah downgrade gitu. ,program mbg pondok sekolah elite emang udah program makan pasti gizi mahal menu kalo program mbg masuk pondok sekolah elite konyol istilah downgrade gitu,Positif
Buat status ah supaya orang2 tahu aku masih ada wkwkwk... Selamat pagi dumay.. Bagaimana kabar hari ini? Tetaplah ngopi sambil baca2 berita hangat pagi ini. Masih tentang MBG ijazah2 dan prediksi2 orang2 pinter.. Aku nunggu siang aja dan notif di M banking..,status ah orang wkwkwk selamat pagi dumay kabar tetap ngopi baca berita hangat pagi mbg ijazah prediksi orang pinter nunggu siang aja notif m banking,Positif
@karoean @Arbiarso_W loh ya ini bener beliau emang spesialis racun ular tapi bukan berarti beliau cuma ngerti racun ular.. yg ditanyakan ke beliau kan soal kasus keracunan karena MBG kecuali yg ditanya itu perihal gizi MBG baru ga cocok.. jangan kesalahan berpikir gitu lah,loh ya bener beliau emang spesialis racun ular beliau ngerti racun ular yg beliau racun mbg kecuali yg perihal gizi mbg ga cocok salah pikir gitu,Positif
Penghargaan kepada Anak anak dari Rakyat sendiri dikecilkan begini payah @prabowo makanya susah maju karena selalu memaklumi kesalahan tidak ada keinginan bekerja sebaik mungkin karena kalau ada korban yaaa cuma sekian persen padahal nyawa orang. lo coba deh MBG ama lo !,harga anak anak rakyat kecil payah susah maju maklum salah korban yaaa sekian persen nyawa orang lo coba deh mbg ama lo,Negatif
mungkin buat ortu2 yang sekolah anaknya dapet mbg dan didaerahnya udh ada kasus2 keracunan mbg anaknya bisa dibekelin makan dari rumah aja biar ngga makan mng dari sekolah,ortu sekolah anak dapet mbg daerah udh racun mbg anak dibekelin makan rumah aja biar ngga makan mng sekolah,Positif
@AbdulRachimmks MBG ini kaya kejar target ,mbg kaya kejar target,Negatif
@kumparan ASTAGHFIRULLAHALAZIM. Gila duit rakyat di Hambur-Hamburkan hanya untuk honor pengawas di sekolah Berarti benar juga yah MBG terlalu besar menyerap anggaran APBN. Astaghfirullah,astaghfirullahalazim gila duit rakyat hambur hambur honor awas sekolah yah mbg serap anggar apbn astaghfirullah,Negatif
Mbg ga jelas menu masakan asal-asalan anak-anak pd ga suka jadinya food waste. Belum lagi kasus keracunan yang ga cuma sekali dua kali. Kenapa ga dihentikan aja sih? Perasaan gampang bgt buang-buang anggaran buat hal yg ga jelas.,mbg ga menu masakan asal anak anak pd ga suka food waste racun ga kali ga henti aja sih asa gampang bgt buang buang anggar yg ga,Negatif
MBG Proyek BGN Penagung Jawab Guru. Lalu tugas pokok Guru? Dulu guru jadi Pimpro DAK...inilah Indonesia Raya #KeracunanMBG #TVRI #Gempa #MakzulkanGibran,mbg proyek bgn penagung guru tugas pokok guru guru pimpro dak indonesia raya,Positif
@Hilmi28 Anak sekolah di rezim omon2 yang sekolahnya kebagian jatah MBG : Belajar dengan Tenang Khawatir takut keracunan ,anak sekolah rezim omon sekolah bagi jatah mbg ajar tenang khawatir takut racun,Positif
Anakku jg di sekolahnya makan siang sehat tanpa MBG. Kalo mmg mau dilanjut program MBG kasih uangnya ke sekolah2 dan bangun dapur2 layak di sekolah2. Gampang kan. Uangnya nggak dikorupsi dan nggak ada yg keracunan.,anak jg sekolah makan siang sehat mbg kalo mmg lanjut program mbg kasih uang sekolah bangun dapur layak sekolah gampang uang nggak korupsi nggak yg racun,Positif
Selamat pagi semua kembali berita buruk MBG di Kadungora Garut https://t.co/sK6nBWPzDm Keracunan kembali terulang @DPR_RI @prabowo @Gerindra @PBPGRI_OFFICIAL @zanatul_91 @WidyoLita,selamat pagi berita buruk mbg kadungora garut racun ulang,Negatif
Rp 100 Ribu buat Guru Penanggung Jawab MBG JPPI: Penawar Pahit Minim Dosis https://t.co/K0zsjxYE1K,rp ribu guru tanggung mbg jppi tawar pahit minim dosis,Negatif
their SPP could shit your MBG nduuttt.. nduuuttttt.. mending bikin program kolam lele,their spp could shit your mbg nduuttt nduuuttttt mending bikin program kolam lele,Negatif
top bgt! MBG bantu buka jalan rejeki bnyk orang https://t.co/6g0iK71KAL,top bgt mbg bantu buka jalan rejeki bnyk orang,Positif
@gabutcuy657 @Hak2015iim @tempodotco Ya sama aja kontol. Itu namanya berbohong dgn statistik. Zero accident dlm keamanan pangan itu wajib. Sekali ada kecelakaan semua klaim keberhasilan itu void. Lu mau anak lu keracunan trus yg ngasih MBG dgn santai bilang ah itu apes aja yg lain lbh byk aman aja ? IQ58 tolol,ya aja kontol nama bohong dgn statistik zero accident dlm aman pangan wajib celaka klaim hasil void lu anak lu racun trus yg ngasih mbg dgn santai bilang ah apes aja yg lbh byk aman aja iq tolol,Negatif
@txtdrimedia Pak coba liat temen2 bapak dan bawahannya brp mereka kantongi tiap bulan dari proyek bapak (sebut MBG),coba liat temen bawah brp kantong proyek mbg,Positif
@zhil_arf Di sekolahku banyak anak yg kurang bersyukur karena lebih milih jajan daripada makan menu mbg yg mereka kurang suka. Setiap mbg yg lauknya ayam apalagi klo ayamnya keras bakal dibuang sama mereka. Udh beberapa kali aku bawa ayam yg ga kemakan pulang untuk kucing jalanan,sekolah anak yg syukur milih jajan makan menu mbg yg suka mbg yg lauk ayam klo ayam keras buang udh kali bawa ayam yg ga makan pulang kucing jalan,Negatif
Pemerintah Provinsi Kalimantan Timur (Kaltim) memastikan kualitas mutu program Makan Bergizi Gratis (MBG) tetap terjaga. https://t.co/EMBomyRciX,perintah provinsi kalimantan timur kaltim kualitas mutu program makan gizi gratis mbg jaga,Positif
Mantan Ketua Mahkamah Konstitusi Mahfud MD menilai program Makan Bergizi Gratis (MBG) tak jelas tata kelolanya dan perlu perbaikan. Selain itu Mahfud juga menpertanyakan kepastian hukumnya. Baca di sini: https://t.co/yErkvy57n7 / #MahfudMD #MakanBergiziGratis https://t.co/w8aAWpt34y,mantan ketua mahkamah konstitusi mahfud md nilai program makan gizi gratis mbg tata kelola baik mahfud menpertanyakan pasti hukum baca,Positif
Bayangkan mulai dari piring atau nampan tempat makannya saja harus diimpor dari China. Bahkan pernah heboh karena diduga ada kandungan babi di bahan plastiknya. https://t.co/uc3y7OOQJF,bayang piring nampan makan impor china heboh duga kandung babi bahan plastik,Negatif
@txtdrimedia Hapus saja MBG,hapus mbg,Negatif
Program MBG Bertujuan Rakyat Sehat Bergizi Dgn APBN Ratusan Triliun Faktanya Keracunan Anak Sekolah Bergelimpangan dimana mana Wartawan Coba Tanya Ke Istana @prabowo Di Cabut Kartu Persnya Istana Di Jaktim Konon Diperlukan Kasar Kok Gitu ? Bukan Bikin Tim Audit Investigasi https://t.co/0BvC4yit1U,program mbg tuju rakyat sehat gizi dgn apbn ratus triliun fakta racun anak sekolah gelimpang mana wartawan coba istana cabut kartu pers istana jaktim konon kasar gitu bikin tim audit investigasi,Negatif
@tribunnews Lanjut terus MBG MBG jalan terus Kan siswa yg keracunan hanya nol koma nol sekian % dari jumlah total MBG ? Pendekatan statistik saja masalah keracunan jangan melankolis bahwa 1 nyawa siswa pun sangat berharga yg hrs dilindungi Negara.,mbg mbg jalan siswa yg racun nol koma nol sekian total mbg dekat statistik racun melankolis nyawa siswa harga yg hrs lindung negara,Positif
@gadahmaja999 @aniesbaswedan Emng sejak kpn pejabat publik kita mau ngedenger kritikan dr teknokrat akademisi? Kalo smpe kejadian itu mbg pst bakal diaudit ga main di gas aja sejak awal ada kasus keracunan.,emng kpn jabat publik ngedenger kritik dr teknokrat akademisi kalo smpe jadi mbg pst audit ga main gas aja racun,Negatif
@Franco78Carlos @kopisejutaummat @FunJunkies Gatau makanya kenapa ada kasus keracunan. Kalo tau mbg beracun mah ya ngapain juga ngasih izin anak-anak buat makan apalagi saya penanggung jawab di sekolah buat ngecek. Udahlah susah ngomong sama yang denialnya parah. Disuruh nyobain malah gamau,gatau racun kalo tau mbg racun mah ya ngapain ngasih izin anak anak makan tanggung sekolah ngecek udahlah susah ngomong denialnya parah suruh nyobain gamau,Negatif
Wali murid Sekolah Dasar Islam Terpadu Al Izzah Kota Serang menolak Program Makan Bergizi Gratis (MBG) yang diterapkan di sekolah mereka... Mereka menilai program tersebut tidak tepat sasaran karena mayoritas siswa berasal dari keluarga berada yang mampu membayar biaya https://t.co/SszBfwM5Jf,wali murid sekolah dasar islam padu al izzah kota serang tolak program makan gizi gratis mbg terap sekolah nilai program sasar mayoritas siswa asal keluarga bayar biaya,Positif
@WagimanDeep212_ So penyebab siswa keracunan MBG : 1. Tidak terbiasa. 2. Tidak cuci tangan. 3. Tidak pake sendok. 4. Tidak sarapan. 5. Tidak punya BPJS.,so sebab siswa racun mbg biasa cuci tangan pake sendok sarap bpjs,Positif
@kepikhijauu @tempodotco Anjjj ku kira krna mbg yg udah banyak korban,anjjj ku krna mbg yg udah korban,Negatif
Perhitunganya sesuai budget yang ditentukan program Nasional (MBG) 15.000 perporsi jadi yang ditilep kroni2 rezim ini utk wilayah makasar dlm 1 bulan adalah sekitar : 15.000 - 6.500 = 8.500 8500 x 3500 porsi x 24 hari sekolah x 55 SPPG = 39.270.000.000 (IDR) ,perhitunganya sesuai budget tentu program nasional mbg porsi ditilep kroni rezim utk wilayah makasar dlm x porsi x sekolah x sppg idr,Positif
@KompasTV HENTIKAN MBG JANGAN DITUNDA,henti mbg tunda,Negatif
@mntrrmdhn Paket MBG nih,paket mbg nih,Positif
Kenapa? Karena berduka 5000+ korban keracunan karena MBG kah?,duka korban racun mbg kah,Negatif
hah sd gua ngapain ngadaptasi mbg pls walau gua sering ngeluh dulu makanan lu better drpada mbg,hah sd gua ngapain ngadaptasi mbg pls gua ngeluh makan lu better drpada mbg,Negatif
SERUAN AKSI Koalisi Warga Tolak MBG mengajak bergabung dalam aksi bersama: ️ Rabu 1 Oktober 2025 ⏰ 09.30 12.00 WIB Seberang Istana Negara Jangan lupa bawa: Panci &amp; alat dapur Payung/jas hujan Bekal makanan bergizi yang beneran bergizi #TolakMBG,seru aksi koalisi warga tolak mbg ajak gabung aksi rabu oktober wib seberang istana negara lupa bawa panci amp alat dapur payung jas hujan bekal makan gizi beneran gizi,Positif
Naniek Deyang si Ratu fitnah dan hoax juga parah banget itu ngerti apa tentang oil and gas jadi Komisaris Pertamina gak punya background gizi dan pangan juga ngurusin MBG ancooorrr,naniek deyang si ratu fitnah hoax parah banget ngerti oil and gas komisaris pertamina gak background gizi pangan ngurusin mbg ancooorrr,Negatif
@txtdrimedia makannya daripada ngurusin MBG urusin koruptor. bukannya dimiskinkan malah ditambah gajinya. bego,makan ngurusin mbg urusin koruptor miskin tambah gaji bego,Positif
@hnirankara @prabowo Kualitas MBG bukan kuantitas...,kualitas mbg kuantitas,Positif
cara menghentikan mbg,henti mbg,Negatif
Jangankan yang mobilnya pajero. Saya yang mobilnya alakadut aja males nyuruh anak makan mbg. Ada aja acaranya yg basi yg jamuran makanan ga fresh ,mobil pajero mobil alakadut aja males nyuruh anak makan mbg aja acara yg basi yg jamur makan ga fresh,Negatif
@tutatutitu Kayaknya cuman di Indonesia yang sampai segininya ngurusin masalah yang terjadi pada manusia dunia hiburan televisi dan per YouTube-an. Bukan karena gue bela si Deddy tapi bukankah ada yang lebih penting dari dia? Contoh masalah MBG sorot aja pernyataan dia dengan realitanya.,kayak cuman indonesia gin ngurusin manusia dunia hibur televisi youtube an gue bela si deddy contoh mbg sorot aja nyata realitanya,Positif
@siregar_najeges MBG menciptakan kekhawatiran baru bagi ibu2 yang mencintai anak2 nya,mbg cipta khawatir cinta anak nya,Negatif
@bumbukuning Mbg tolol,mbg tolol,Negatif
@idextratime Kalau dpt red card tp menang kan hebat ? Gimana sih otak kalian ? Ini strategy efisiensi kalau cukup main 10 kenapa mesti 11 sisa anggaran bs utk MBG,dpt red card tp menang hebat gimana sih otak strategy efisiensi main mesti sisa anggar bs utk mbg,Negatif
Apakah di sekolah rafatar di kasih MBG ? ,sekolah rafatar kasih mbg,Positif
Wartawan Laporkan Pemilik Dapur MBG ke Polisi Ini Sebabnya https://t.co/NcDygDINqO,wartawan lapor milik dapur mbg polisi,Positif
@kompascom Jahat! Ya Alloh limpahkan laknat kepada mereka pengelola MBG yg curang,jahat ya alloh limpah laknat kelola mbg yg curang,Negatif
@InteristaLK Tau tau tengah pertandingan Harmoko muncul nyiarin MBG ‍️,tau tau tanding harmoko muncul nyiarin mbg,Negatif
@Top8rendusara Setuju bang kalau ada yang salah kita perbaiki.... MBG oke gas,tuju bang salah baik mbg oke gas,Negatif
@VIVAcoid Mau ditambal sulam kayak apapun bak mengobati penyakit kronis. Obat apapun gak akan mempan. Amputasi saja. Stop MBG. Dengan puluhan ribu sppg apa 5 tahun akan tuntas? Sumberdaya nya saja TDK ada. Keburu @prabowo kabur ke arab lagi si 2029. Gak ada yg bertanggungjawab nanti,tambal sulam kayak apa bak obat sakit kronis obat apa gak mempan amputasi stop mbg puluh ribu sppg tuntas sumberdaya nya tdk keburu kabur arab si gak yg bertanggungjawab,Negatif
Jumlah guru yg ngurus Mbg lebih sedikit dibandingkan dg jumlah seluruh guru honor(swasta mnengah ke bawah). Shg membayar layak yg sedikit lebih baik. Dasar pelit,guru yg ngurus mbg banding dg guru honor swasta mnengah shg bayar layak yg dasar pelit,Positif
@IndonesiaJadi Presiden Prabowo terus monitor MBG biar ga ada yang ketinggalan,presiden prabowo monitor mbg biar ga tinggal,Positif
@Piyusaja2 MBG Program dengan Dana Trilunan sangat rawan KKN. Hapus MBG ganti Pendidikan Gratis plus pembangunan merata sarana dan infrastruktur kelengkapan sekolah sekolah UTK KEJAR KUALITAS PENDIDIKAN di ASEAN dulu plus gaji guru dan dosen. Di SWLURUH PELOSOK NKRI.,mbg program dana trilunan rawan kkn hapus mbg ganti didik gratis plus bangun rata sarana infrastruktur lengkap sekolah sekolah utk kejar kualitas didik asean plus gaji guru dosen swluruh pelosok nkri,Positif
MBG itu program asal2an tanpa pembahasan yg matang. Anak2 yg diantar sopir pribadi pake mobil pajeropun kebagian MBG. Lantas gimana anak terlantar anak jalanan yatim piatu yg putus sekolah? Sementara memelihara mereka tertuang dlm perintah UUD 1945. https://t.co/ZHI7Nd01Bk,mbg program an bahas yg matang anak yg antar sopir pribadi pake mobil pajeropun bagi mbg lantas gimana anak lantar anak jalan yatim piatu yg putus sekolah pelihara tuang dlm perintah uud,Positif
